Categoría,Nombre producto en Español,Nombre producto en Inglés,Descripción,Palabras claves,Link
Autorizaciones,,Security acces entitlement,"Otorga, resuelve, impone, revoca y administra derechos de acceso y permisos a las actividades que se pueden realizar de manera segura, generando experiencias de uso positivas para usuarios principales y secundarios.","relación cliente, cambio de estado, titular, delegado, persona natural, persona jurídica, relación, autorización, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,Usuario delegado,Security acces entitlement delegates,Crea la relación de delegado de un cliente y permite la consulta de esos usuarios delegados.,"gestión de delegados, entitlement, rol, actualización rol, delegado, delegados de un cliente, autorización, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,,Security acces entitlement Memberships,Validar y regenerar el código único de afiliación de un usuario a un cliente para delegar accesos a los canales Bancolombia.,"validar código, regenerar código, afiliación, código único, delegación de acceso, autorización, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,Usuarios titulares,Security acces entitlement owners,Crea y consulta los titulares de un cliente persona natural y jurídica,"titulares, cliente, gestión titulares, crear titular persona, consultar titulares, autorización, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,Privilegios,Security acces entitlement privileges,Consulta de los privilegios que tiene un usuario disponible para ser asignados en Entitlement,"privilegios, autorización, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,Esquemas,Security acces entitlement schemes,Registro y consulta del esquema asociado a un titular.,"esquema asociado a un títular, autorización, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,Relación,Security Access Entitlement Relations,Consulta la relación entre un usuario y un cliente y conoce si es titular o delegado,"relación, autorización",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,,Security Alphanumeric,"Asigna y valida la clave alfanumérica a un usuario, permitiendo así la autenticación de los usuarios.","validar clave, crear clave, clave alfanumerica, autorización, autorizaciones, clave, generación de clave",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,,Security Contacts,Gestionar los contactos de confianza de un cliente.,"información clientes, administrar contactos, gestionar contactos, autorización, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,Autenticar teceros,Third Party Authentication,Autenticar y gestionar las autorizaciones de productos hacia terceros.,"generar url autenticación, FUA, autenticación, tercero, autenticación frente a tercero, autorización, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,Autorizar terceros,Third Party Authorization,Autenticar y gestionar las autorizaciones de productos hacia terceros.,"gestión de autorizaciones, autorizaciones, autorizaciones cliente, relaciones cliente, relación cliente, relación comercio, consultar relaciones cliente, relaciones cliente, relaciones comercio, autorización, autorizaciones",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,Roles,Security acces entitlement roles,"Crear, editar y consulta el rol de los usuarios de un cliente","actualizar rol, rol, entitlement",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Autorizaciones,,Security acces entitlement product group,Gestionar los grupos de productos,"grupos de productos, consultar grupos,",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-Autorizaciones.aspx?csf=1&web=1&e=gKx2p3&cid=08c63ab1-fe0c-4efc-b320-a9a5444e0187
Administración ciclo de vida del activo - Leasing,Condiciones Leasing,Leasing Condition,"Realiza la creación, consulta, modificación y eliminación de una o varias condiciones financieras asociadasa un cliente Leasing","Condiciones de pago, Leasing Habitacional, Estado de la cuenta, leasing, condiciones financieras, negocio leasing, obligación leasing",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-CiclodeVidadelActivo.aspx
